Bairro;Média de moradores por domicílio;Número de registros;Pop. Homens;Pop. Mulheres;populacao;Razão de Dependência;Regional
Aerolândia;3,45;1;5365;5995;11360;39,94;REGIONAL 6
Aeroporto;3,61;1;4160;4458;8618;45,62;REGIONAL 4
Aldeota;3,08;1;17980;24381;42361;34,11;REGIONAL 2
Alto da Balança;3,39;1;5930;6884;12814;43,32;REGIONAL 6
Álvaro Weyne;3,52;1;10834;12856;23690;41,7;REGIONAL 1
Amadeu Furtado;3,46;1;5211;6492;11703;40,21;REGIONAL 3
Ancuri;3,42;1;9823;10247;20070;44,98;REGIONAL 6
Antônio Bezerra;3,44;1;11902;13944;25846;39,89;REGIONAL 3
Autran Nunes;3,78;1;10281;10927;21208;46,93;REGIONAL 3
Barra do Ceará;3,56;1;34658;37765;72423;42,98;REGIONAL 1
Barroso;3,58;1;14359;15488;29847;47,38;REGIONAL 6
Bela Vista;3,4;1;7767;8987;16754;40,19;REGIONAL 3
Benfica;3,05;1;5532;7422;12954;30,49259595;REGIONAL 4
Boa Vista;3,42;1;5869;6378;12247;43,508319663;REGIONAL 6
Bom Futuro;3,25;1;2747;3658;6405;38,01;REGIONAL 4
Bom Jardim;3,6;1;18180;19578;37758;46,29;REGIONAL 5
Bonsucesso;3,5;1;19336;21862;41198;42,91;REGIONAL 3
Cais do Porto;3,54;1;10867;11515;22382;45,54;REGIONAL 2
Cajazeiras;3,27;1;6821;7657;14478;39,84;REGIONAL 6
Cambeba;3,54;1;3596;4029;7625;33,96;REGIONAL 6
Canindezinho;3,57;1;20127;21075;41202;47,01;REGIONAL 5
Carlito Pamplona;3,49;1;13596;15480;29076;41,81;REGIONAL 1
Centro;2,89;1;12973;15565;28538;35,89;REGIONAL 2
Cidade 2000;3,15;1;3576;4696;8272;36,86;REGIONAL 2
Cidade dos Funcionários;3,4;1;8256;10000;18256;33,63;REGIONAL 6
Coaçu;3,53;1;3441;3747;7188;40,69;REGIONAL 6
Cocó;3,18;1;9135;11357;20492;32,8;REGIONAL 2
Conjunto Ceará I;3,51;1;8850;10371;19221;36,18;REGIONAL 5
Conjunto Ceará II;3,51;1;10998;12675;23673;35,66;REGIONAL 5
Conjunto Esperança;3,45;1;7714;8691;16405;38,47;REGIONAL 5
Conjunto Palmeiras;4,02;1;17807;18792;36599;45,29;REGIONAL 6
Couto Fernandes;3,38;1;2467;2793;5260;43,25;REGIONAL 4
Cristo Redentor;3,68;1;12639;14078;26717;46,58;REGIONAL 1
Curió;3,64;1;3761;3875;7636;36,89;REGIONAL 6
Damas;3,04;1;4697;6022;10719;34;REGIONAL 4
De Lourdes;3,51;1;1561;1809;3370;33,47;REGIONAL 2
Demócrito Rocha;3,36;1;5040;5954;10994;39,57;REGIONAL 4
Dendê;3,29;1;2815;2822;5637;38,09;REGIONAL 4
Dias Macêdo;3,46;1;5747;6364;12111;40,76;REGIONAL 6
Dionísio Torres;3,22;1;6624;9010;15634;34,27;REGIONAL 2
Dom Lustosa;3,43;1;6109;7038;13147;41,53;REGIONAL 3
Edson Queiroz;3,76;1;10586;11624;22210;33,75;REGIONAL 6
Farias Brito;3,33;1;5400;6663;12063;37,22;REGIONAL 1
Fátima;3,19;1;10091;13218;23309;31,68;REGIONAL 4
Floresta;3,49;1;13677;15219;28896;46,04;REGIONAL 1
Genibaú;3,55;1;19531;20805;40336;45,72;REGIONAL 5
Granja Lisboa;3,61;1;25360;26682;52042;47,26;REGIONAL 5
Granja Portugal;3,67;1;19172;20479;39651;50,23;REGIONAL 5
Guajerú;3,59;1;3085;3583;6668;38,37;REGIONAL 6
Henrique Jorge;3,45;1;12606;14388;26994;40,41;REGIONAL 3
Itaoca;3,34;1;5602;6875;12477;38,97;REGIONAL 4
Itaperi;3,2;1;10487;12076;22563;35,78;REGIONAL 4
Jacarecanga;3,34;1;6472;7732;14204;42,81;REGIONAL 1
Jangurussu;3,54;1;24217;26262;50479;42,19;REGIONAL 6
Jardim América;3,38;1;5455;6809;12264;39,27;REGIONAL 4
Jardim Cearense;3,46;1;4771;5332;10103;36,82;REGIONAL 5
Jardim das Oliveiras;3,56;1;14024;15547;29571;43,43;REGIONAL 6
Jardim Guanabara;3,48;1;6937;7982;14919;41,14;REGIONAL 1
Jardim Iracema;3,52;1;10968;12216;23184;42,27;REGIONAL 1
João XXIII;3,5;1;8661;9737;18398;41,69;REGIONAL 3
Joaquim Távora;3,15;1;10107;13343;23450;35,68;REGIONAL 2
Jóquei Clube;3,4;1;8867;10464;19331;37,52;REGIONAL 3
José Bonifácio;3,11;1;3842;5006;8848;37,16;REGIONAL 4
José de Alencar;3,5;1;7652;8351;16003;37,49;REGIONAL 6
Lagoa Redonda;3,5;1;13356;14593;27949;43,83;REGIONAL 6
Eng Luciano Cavalcante;3,46;1;7143;8400;15543;38,12;REGIONAL 2
Manoel Sátiro;3,41;1;17707;20245;37952;38,74;REGIONAL 5
Manuel Dias Branco;3,27;1;679;768;1447;40,49;REGIONAL 2
Maraponga;3,31;1;4720;5435;10155;37,17;REGIONAL 5
Meireles;2,91;1;16171;20811;36982;33,6;REGIONAL 2
Messejana;3,41;1;19277;22412;41689;38,02;REGIONAL 6
Mondubim;3,44;1;36555;39489;76044;42,97;REGIONAL 5
Monte Castelo;3,44;1;6118;7097;13215;39,28;REGIONAL 1
Montese;3,26;1;11524;14446;25970;38,59;REGIONAL 4
Mucuripe;3,09;1;6239;7508;13747;36,19;REGIONAL 2
Padre Andrade;3,41;1;5912;7024;12936;40,14;REGIONAL 3
Pan Americano;3,41;1;4065;4750;8815;41,27;REGIONAL 4
Papicu;3,3;1;8584;9786;18370;37,15;REGIONAL 2
Parangaba;3,33;1;14271;16676;30947;36,61;REGIONAL 4
Parque Araxá;3,33;1;2919;3796;6715;38,83;REGIONAL 3
Parque Dois Irmãos;3,64;1;13072;14164;27236;41,27;REGIONAL 6
Parque Iracema;3,07;1;3875;4534;8409;35,35;REGIONAL 6
Parque Manibura;3,69;1;3472;4057;7529;34,66;REGIONAL 6
Parque Presidente Vargas;3,69;1;3560;3632;7192;51,57;REGIONAL 5
Parque Santa Rosa;3,43;1;6106;6684;12790;42,21;REGIONAL 5
Parque São José;3,47;1;5007;5479;10486;45,22;REGIONAL 5
Parquelândia;3,22;1;6283;8149;14432;36,61;REGIONAL 3
Parreão;3,43;1;4977;6095;11072;39,8;REGIONAL 4
Passaré;3,38;1;24541;26399;50940;42,92;REGIONAL 6
Paupina;3,46;1;7042;7623;14665;41,55;REGIONAL 6
Pedras;3,63;1;670;672;1342;46,99;REGIONAL 6
Pici;3,58;1;20330;22164;42494;43;REGIONAL 3
Pirambú;3,65;1;8430;9345;17775;49,62;REGIONAL 1
Planalto Ayrton Senna;3,56;1;19277;20169;39446;46,83;REGIONAL 5
Praia de Iracema;2,87;1;1437;1693;3130;34,28;REGIONAL 2
Praia do Futuro I;3,42;1;3224;3406;6630;49,86;REGIONAL 2
Praia do Futuro II;3,46;1;5879;6078;11957;48,74;REGIONAL 2
Prefeito José Valter;3,42;1;15401;18026;33427;43,27;REGIONAL 5
Presidente Kennedy;3,43;1;10327;12677;23004;37,83;REGIONAL 3
Quintino Cunha;3,58;1;22471;24806;47277;42,43;REGIONAL 3
Rodolfo Teófilo;3,36;1;8575;10539;19114;38,45;REGIONAL 3
Sabiaguaba;3,59;1;1043;1074;2117;43,23;REGIONAL 6
Salinas;3,51;1;2014;2284;4298;38,91;REGIONAL 2
São Bento;3,36;1;5771;6193;11964;46,71;REGIONAL 6
São Gerardo;3,27;1;6376;8129;14505;34,87;REGIONAL 1
São João do Tauape;3,32;1;12498;15100;27598;39,31;REGIONAL 2
Sapiranga Coité;3,73;1;15278;16880;32158;43,25;REGIONAL 6
Serrinha;3,47;1;13823;14947;28770;40,88;REGIONAL 4
Siqueira;3,63;1;16373;17255;33628;51,59;REGIONAL 5
Varjota;3,01;1;3645;4776;8421;32,07;REGIONAL 2
Vila Ellery;3,43;1;3544;4319;7863;39,41;REGIONAL 1
Vila Pery;3,38;1;9517;11128;20645;38,5;REGIONAL 4
Vila União;3,38;1;7090;8288;15378;39,63;REGIONAL 4
Vila Velha;3,55;1;29108;32509;61617;43,99;REGIONAL 1
Vicente Pinzon;3,55;1;21766;23752;45518;42,98;REGIONAL 2
